route_id,agency_id,route_short_name,route_long_name,route_type
1,1,"1","Mosson - Odysseum",0
10,1,"10","Aiguelongue (Jussieu) - Celleneuve",3
11,1,"11","Les Bouisses - Tournezy",3
12,1,"12","Catalpas - Gare Saint-Roch (Pont de Sète)",3
13,1,"La Navette (13)","Universités des Sciences et Lettres - Saint-Éloi",3
14,1,"14","La Pompignane (Les Lacs) - Léon Blum",3
15,1,"15","Charles de Gaulle - Saint-Cléophas",3
16,1,"16","Charles de Gaulle - Port Marianne",3
17,1,"17","Lavandin - Sabines",3
18,1,"18","Montpellier Sabines - Maurin - Lattes Centre",3
19,1,"19","Pierre de Coubertin - Hôtel du Département",3
2,1,"2","SAINT-JEAN DE VÉDAS Centre - Notre-Dame de Sablassou / Jacou",0
20,1,"20","Saint-Jean de Védas : La Fermaude - Saint-Jean de Védas Centre",3
21,1,"21","Castelnau-le-Lez Notre-Dame de Sablassou - Vendargues - Gare de Baillargues",3
22,1,"22","Montpellier Saint-Éloi - Clapiers - Jacou Collège Pierre Mendès France",3
23,1,"23","Montpellier Occitanie - Prades-le-Lez Moulin Neuf",3
24,1,"24","Grabels : La Valsière - Le Pradas",3
25,1,"25","Juvignac : Le Martinet - Courpouyran",3
26,1,"26","Montpellier Occitanie - Montferrier-sur-Lez Cirad de Baillarguet / Olympe",3
28,1,"28","Boirargues - Cabanes de Pérols",3
29,1,"29","Gare de Baillargues - Baillargues - Saint-Brès Versant",3
3,1,"3","Juvignac - Lattes Centre / Pérols Étang de l'Or",0
30,1,"30","Le Crès : Maumarin - Via Domitia - Jean Jaurès",3
31,1,"31","Sablassou-Sussargues-Beaulieu-Restinclières-St-Geniès-Castries-Baillargues",3
32,1,"32","Montpellier Garcia Lorca - Villeneuve-lès-Maguelone - Saint-Jean le Sec",3
33,1,"33","Rondelet - Saint-Jean de Védas Centre - Fabrègues Lou Paillas",3
34,1,"34","Montpellier Mosson - Pignan - Cournonterral - Cournonsec Les Clavoux",3
35,1,"35","Castelnau-le-Lez : Charles de Gaulle - Aube Rouge / Les Aires",3
36,1,"36","Charles de Gaulle - Clapiers - Jacou Collège Pierre Mendès France",3
38,1,"38","Montpellier Rondelet-Lavérune-Pignan-Cournonterral-Cournonsec Les Clavoux",3
4,1,"4","A / B Garcia Lorca",0
41,1,"41","Castelnau-le-Lez : Charles de Gaulle - Clinique du Parc",3
6,1,"6","Euromédecine - Pas du Loup",3
7,1,"7","Hôtel du Département - La Martelle / Les Bouisses",3
8,1,"8","Cité de l'Arme - Gare Saint-Roch (Pont de Sète)",3
9,1,"9","A / B Place de l'Europe",3
40,1,"40","Montpellier Mosson - Saint-Georges d'Orques Zone Artisanale",3
43,1,"43","Saint-Jean de Védas Centre - Saussan - Pignan La Bornière",3
27,1,"27","G.Pompidou - Teyran - St-Drézéry - Montaud - Sussargues - Castries - Baillargues",3
42,1,"42","Montpellier Mosson - St-Georges d’Orques - Murviel-lès-Montpellier La Rouvière",3
50,1,"Navette Gare","Place de France - Gare Montpellier Sud de France",3
44,1,"44","Villeneuve-lès-Maguelone :  Arnel - Gare de Villeneuve-lès-Maguelone",3
46,1,"46","ND de Sablassou - Castries Collège",3
51,1,"51","Place de l'Europe - Notre-Dame de Sablassou",3
52,1,"52","Place de France - Grammont",3
