stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
S5154,5154,"Biste",43.65562895,4.00001439,1,
899,29104,"Biste",43.65562895,4.00001439,0,S5154
922,29209,"Biste",43.65599567,4.00013652,0,S5154
S5155,5155,"Collège Le Bérange",43.66733177,4.02342862,1,
906,29111,"Collège Le Bérange",43.66733177,4.02342862,0,S5155
914,29201,"Collège Le Bérange",43.66733177,4.02342862,0,S5155
S5156,5156,"Fenouillet",43.66401232,4.02240169,1,
905,29110,"Fenouillet",43.66401232,4.02240169,0,S5156
915,29202,"Fenouillet",43.66458508,4.02141548,0,S5156
S5158,5158,"Gaston Baissette",43.66449924,4.01710319,1,
916,29203,"Gaston Baissette",43.66449924,4.01710319,0,S5158
S5160,5160,"Le Grès",43.66258029,4.00865041,1,
902,29107,"Le Grès",43.66258029,4.00865041,0,S5160
919,29206,"Le Grès",43.66271279,4.00822085,0,S5160
S5161,5161,"Le Levant",43.66169756,4.01804855,1,
904,29109,"Le Levant",43.66169756,4.01804855,0,S5161
S5162,5162,"Mairie",43.66109919,4.01373381,1,
903,29108,"Mairie",43.66109919,4.01373381,0,S5162
918,29205,"Mairie",43.6619246,4.01326272,0,S5162
S5163,5163,"Paradis",43.66396082,4.0141399,1,
917,29204,"Paradis",43.66396082,4.0141399,0,S5163
S5164,5164,"Paul Cézanne",43.65997387,4.00685277,1,
901,29106,"Paul Cézanne",43.65997387,4.00685277,0,S5164
920,29207,"Paul Cézanne",43.65910906,4.00579966,0,S5164
S5165,5165,"Treille",43.65660097,4.00228396,1,
900,29105,"Treille",43.65660097,4.00228396,0,S5165
921,29208,"Treille",43.65672601,4.00233714,0,S5165
S5166,5166,"Le Créant",43.72789237,4.02920038,1,
939,31106,"Le Créant",43.72789237,4.02920038,0,S5166
945,31206,"Le Créant",43.72794029,4.02958615,0,S5166
S5167,5167,"Le Ginestet",43.7218211,4.00675552,1,
1304,27123,"Le Ginestet",43.7218211,4.00675552,0,S5167
1312,27223,"Le Ginestet",43.72198286,4.00676026,0,S5167
S5168,5168,"Le Puits",43.72600277,4.02237512,1,
1307,27216,"Le Puits",43.72600277,4.02237512,0,S5168
S5169,5169,"Mairie",43.72909932,4.02097889,1,
1012,35109,"Mairie",43.72909932,4.02097889,0,S5169
1306,27215,"Mairie",43.72894558,4.02103634,0,S5169
S5170,5170,"Aube Rouge",43.63939147,3.92405603,1,
1030,35221,"Aube Rouge",43.63939147,3.92405603,0,S5170
1216,42163,"Aube Rouge",43.6385425,3.92493605,0,S5170
1222,42207,"Aube Rouge",43.63853405,3.92489868,0,S5170
1360,35114,"Aube Rouge",43.63939147,3.92405603,0,S5170
S5171,5171,"Balestrier",43.64426981,3.90329491,1,
144,04169,"Balestrier",43.64426981,3.90329491,0,S5171
146,04202,"Balestrier",43.64421661,3.90324393,0,S5171
S5172,5172,"Buissonnets",43.64551042,3.90701815,1,
143,04168,"Buissonnets",43.64551042,3.90701815,0,S5172
147,04203,"Buissonnets",43.64549155,3.90707953,0,S5172
S5173,5173,"Castelnau Zone d'Activités",43.63650331,3.92728065,1,
594,20116,"Castelnau Zone d'Activités",43.63650331,3.92728065,0,S5173
626,20219,"Castelnau Zone d'Activités",43.63665426,3.92740863,0,S5173
S5174,5174,"Castors",43.63282611,3.90388446,1,
129,04127,"Castors",43.63282611,3.90388446,0,S5174
1026,35214,"Castors",43.6328473,3.90366226,0,S5174
S5175,5175,"Caylus",43.64531258,3.89832209,1,
1058,36141,"Caylus",43.64531258,3.89832209,0,S5175
1095,36241,"Caylus",43.64478434,3.89817146,0,S5175
S5176,5176,"Centurions",43.63279798,3.9157162,1,
1214,42157,"Centurions",43.63279798,3.9157162,0,S5176
1224,42213,"Centurions",43.63282512,3.91570457,0,S5176
S5177,5177,"Charles de Gaulle",43.62823785,3.89665467,1,
419,10150,"Charles de Gaulle",43.62823785,3.89665467,0,S5177
454,10246,"Charles de Gaulle",43.62807734,3.89656365,0,S5177
1013,35110,"Charles de Gaulle",43.62832981,3.89775865,0,S5177
1024,35210,"Charles de Gaulle",43.62839396,3.89767378,0,S5177
1211,42151,"Charles de Gaulle",43.62855518,3.89771531,0,S5177
1227,42219,"Charles de Gaulle",43.62857369,3.89767869,0,S5177
1364,36143,"Charles de Gaulle",43.62839396,3.89767378,0,S5177
1483,16301,"Charles de Gaulle",43.6273293,3.89794169,0,S5177
1488,16501,"Charles de Gaulle",43.62761162,3.89768952,0,S5177
S5178,5178,"Chemin de la Monnaie",43.64357009,3.91062909,1,
142,04167,"Chemin de la Monnaie",43.64357009,3.91062909,0,S5178
148,04204,"Chemin de la Monnaie",43.64359813,3.91055558,0,S5178
S5179,5179,"Chênes",43.63905104,3.90919239,1,
138,04163,"Chênes",43.63905104,3.90919239,0,S5179
152,04208,"Chênes",43.63902696,3.90899367,0,S5179
S5180,5180,"Cimetière",43.63199134,3.89757409,1,
155,04218,"Cimetière",43.63199134,3.89757409,0,S5180
S5181,5181,"Clairval",43.6301927,3.90259929,1,
1212,42153,"Clairval",43.6301927,3.90259929,0,S5181
1226,42217,"Clairval",43.63021983,3.90258766,0,S5181
S5182,5182,"Clinique du Parc",43.63541981,3.8910953,1,
1015,35113,"Clinique du Parc",43.63541981,3.8910953,0,S5182
S5183,5183,"Closerie des Guilhems",43.63429208,3.89512437,1,
675,22102,"Closerie des Guilhems",43.63429208,3.89512437,0,S5183
717,22219,"Closerie des Guilhems",43.63490814,3.89479462,0,S5183
S5184,5184,"Collège Frédéric Bazille",43.63438802,3.90652659,1,
1014,35112,"Collège Frédéric Bazille",43.63438802,3.90652659,0,S5184
1025,35212,"Collège Frédéric Bazille",43.63445919,3.90657806,0,S5184
S5185,5185,"Décurions",43.63558322,3.909035,1,
1018,35117,"Décurions",43.63558322,3.909035,0,S5185
1029,35217,"Décurions",43.6356641,3.90903722,0,S5185
S5186,5186,"Georges Pompidou",43.64927111,3.92101273,1,
1218,42167,"Georges Pompidou",43.64927111,3.92101273,0,S5186
1220,42203,"Georges Pompidou",43.64926267,3.92097535,0,S5186
1520,27100,"Georges Pompidou",43.6488564,3.92170692,0,S5186
1528,27200,"Georges Pompidou",43.6488564,3.92170692,0,S5186
S5187,5187,"Idate",43.65242745,3.89493854,1,
699,22163,"Idate",43.65242745,3.89493854,0,S5187
725,22264,"Idate",43.65218054,3.89522895,0,S5187
S5188,5188,"Jean Jaurès",43.6399519,3.89414004,1,
676,22103,"Jean Jaurès",43.6399519,3.89414004,0,S5188
716,22218,"Jean Jaurès",43.64002593,3.89399351,0,S5188
S5189,5189,"La Galine",43.63145689,3.90903276,1,
1213,42155,"La Galine",43.63145689,3.90903276,0,S5189
1225,42215,"La Galine",43.63148403,3.90902113,0,S5189
S5190,5190,"La Pompignane (Les Lacs)",43.62469019,3.89954021,1,
324,08203,"La Pompignane (Les Lacs)",43.62469019,3.89954021,0,S5190
418,10149,"La Pompignane (Les Lacs)",43.62509855,3.8998979,0,S5190
S5191,5191,"Les Aires",43.6424987,3.89956969,1,
145,04201,"Les Aires",43.6424987,3.89956969,0,S5191
1361,35121,"Les Aires",43.6424987,3.89956969,0,S5191
S5192,5192,"Mairie de Castelnau",43.63300911,3.89744101,1,
128,04125,"Mairie de Castelnau",43.63300911,3.89744101,0,S5192
S5193,5193,"Marcel Dassault",43.62165496,3.91664558,1,
1106,37101,"Marcel Dassault",43.62165496,3.91664558,0,S5193
1107,37202,"Marcel Dassault",43.62175001,3.91690808,0,S5193
S5194,5194,"Mas de Rochet",43.62587153,3.90611922,1,
1333,08124,"Mas de Rochet",43.62587153,3.90611922,0,S5194
1484,16303,"Mas de Rochet",43.62564795,3.90603882,0,S5194
S5195,5195,"Mûriers",43.64067341,3.91137861,1,
139,04164,"Mûriers",43.64067341,3.91137861,0,S5195
151,04207,"Mûriers",43.64063333,3.91166222,0,S5195
S5196,5196,"Notre-Dame de Sablassou",43.63474401,3.92341934,1,
668,21217,"Notre-Dame de Sablassou",43.63474401,3.92341934,0,S5196
669,21218,"Notre-Dame de Sablassou",43.63439852,3.92245668,0,S5196
1215,42159,"Notre-Dame de Sablassou",43.63423949,3.9222666,0,S5196
1223,42211,"Notre-Dame de Sablassou",43.63426681,3.9222426,0,S5196
1590,51101,"Notre-Dame de Sablassou",43.63388674,3.92179884,0,S5196
S5197,5197,"Palais des Sports",43.64516162,3.9173952,1,
1017,35116,"Palais des Sports",43.64516162,3.9173952,0,S5197
1028,35216,"Palais des Sports",43.64516433,3.91720957,0,S5197
S5198,5198,"Pioch Pelat",43.62621249,3.90244065,1,
319,08122,"Pioch Pelat",43.62621249,3.90244065,0,S5198
323,08202,"Pioch Pelat",43.62629999,3.90198514,0,S5198
S5199,5199,"Place de la Liberté",43.6327433,3.89592374,1,
674,22101,"Place de la Liberté",43.6327433,3.89592374,0,S5199
718,22220,"Place de la Liberté",43.63248199,3.89596611,0,S5199
S5200,5200,"Place de la Monnaie",43.64415007,3.91031083,1,
141,04166,"Place de la Monnaie",43.64415007,3.91031083,0,S5200
149,04205,"Place de la Monnaie",43.64428595,3.9102403,0,S5200
S5201,5201,"Place du Forum",43.64464257,3.92399158,1,
131,04136,"Place du Forum",43.64464257,3.92399158,0,S5201
